ПозПредупредТОРО,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Вид работы ТОРО,Вид заказа,Тип техкарты,Группа,СчетГруппТехкарт,updated-counter,strategy_str_counter,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
9399,100000005052,Замена гидротрансформатора,100,100000006410,ЗМН,APP1,A,M0000002,ЗГ,ЗГ,2-0170_strЗГ,M0000002_strЗГ,"216,000","72,000"
9400,100000005053,Техническое обслуживание 1,100,100000006410,ТО1,APP1,A,M0000002,О1,О1,2-0171_strО1,M0000002_strО1,"16,000","8,000"
9401,100000005053,Техническое обслуживание 2,100,100000006410,ТО2,APP1,A,M0000002,О2,О2,2-0171_strО2,M0000002_strО2,"20,000","10,000"
9402,100000005053,Техническое обслуживание 5,100,100000006410,ТО5,APP1,A,M0000002,О5,О5,2-0171_strО5,M0000002_strО5,"48,000","24,000"
9403,100000005053,Техническое обслуживание 4,100,100000006410,ТО4,APP1,A,M0000002,О4,О4,2-0171_strО4,M0000002_strО4,"48,000","24,000"
9404,100000005053,Техническое обслуживание 3,100,100000006410,ТО3,APP1,A,M0000002,О3,О3,2-0171_strО3,M0000002_strО3,"48,000","24,000"
9405,100000005053,Техническое обслуживание 6,100,100000006410,ТО6,APP1,A,M0000002,О6,О6,2-0171_strО6,M0000002_strО6,"72,000","36,000"
9406,100000005054,Замена2 двигателя,100,100000006410,ЗМН,APP1,A,M0000002,48,Д2,2-0172_strД2,M0000002_str48,"288,000","96,000"
9407,100000005054,Замена1 двигателя,100,100000006410,ЗМН,APP1,A,M0000002,40,Д1,2-0172_strД1,M0000002_str40,"288,000","96,000"
9408,100000005055,Замена1 коробки передач,100,100000006410,ЗМН,APP1,A,M0000002,41,П1,2-0173_strП1,M0000002_str41,"288,000","96,000"
9409,100000005055,Замена2 коробки передач,100,100000006410,ЗМН,APP1,A,M0000002,49,П2,2-0173_strП2,M0000002_str49,"288,000","96,000"
10266,100000005492,Текущий ремонт,100,100000007087,ТР,APP1,A,M0000019,ТР,ТР,1-0007_strТР,M0000019_strТР,"60,000","20,000"
10267,100000005493,ТР ковша,100,100000007087,ТР,APP1,A,M0000019,74,74,1-0029_str74,M0000019_str74,"48,000","24,000"
10268,100000005494,Техническое обслуживание 1,100,100000007087,ТО1,APP1,A,M0000019,О1,О1,2-0128_strО1,M0000019_strО1,"32,000","8,000"
10269,100000005494,Техническое обслуживание 2,100,100000007087,ТО2,APP1,A,M0000019,О2,О2,2-0128_strО2,M0000019_strО2,"60,000","12,000"
10270,100000005494,Техническое обслуживание 3,100,100000007087,ТО3,APP1,A,M0000019,О3,О3,2-0128_strО3,M0000019_strО3,"120,000","24,000"
10271,100000005494,Техническое обслуживание 4,100,100000007087,ТО4,APP1,A,M0000019,О4,О4,2-0128_strО4,M0000019_strО4,"216,000","36,000"
10272,100000005494,Капитальный ремонт,100,100000007087,КР,APP1,A,M0000019,КР,КР,2-0128_strКР,M0000019_strКР,"5 952,000","744,000"
10540,100000005678,Техническое обслуживание 3,100,100000007096,ТО3,APP1,A,M0000011,О3,О3,2-0175_strО3,M0000011_strО3,"54,000","18,000"
10541,100000005678,Техническое обслуживание 2,100,100000007096,ТО2,APP1,A,M0000011,О2,О2,2-0175_strО2,M0000011_strО2,"36,000","12,000"
10542,100000005678,Техническое обслуживание 1,100,100000007096,ТО1,APP1,A,M0000011,О1,О1,2-0175_strО1,M0000011_strО1,,
10543,100000005678,Техническое обслуживание 5,100,100000007096,ТО5,APP1,A,M0000011,О5,О5,2-0175_strО5,M0000011_strО5,"96,000","24,000"
10544,100000005678,Техническое обслуживание 4,100,100000007096,ТО4,APP1,A,M0000011,О4,О4,2-0175_strО4,M0000011_strО4,"96,000","24,000"
10545,100000005679,КР гидросистемы,100,100000007096,КР,APP1,A,M0000011,7,7,2-0176_str7,M0000011_str7,"480,000","120,000"
10546,100000005680,ТР двигателя,100,100000007096,ТР,APP1,A,M0000011,70,70,2-0177_str70,M0000011_str70,"24,000","12,000"
10547,100000005680,Замена двигателя,100,100000007096,ЗМН,APP1,A,M0000011,ЗД,ЗД,2-0177_strЗД,M0000011_strЗД,"360,000","120,000"
10548,100000005681,Замена компрессора,100,100000007096,ЗМН,APP1,A,M0000011,ЗМ,ЗМ,2-0178_strЗМ,M0000011_strЗМ,"216,000","72,000"
10549,100000005682,КР рабочего оборудования,100,100000007096,КР,APP1,A,M0000011,КО,КО,2-0179_strКО,M0000011_strКО,"216,000","72,000"
10550,100000005683,КР ходовой части,100,100000007096,КР,APP1,A,M0000011,34,34,2-0180_str34,M0000011_str34,"504,000","168,000"
10551,100000005684,ТР электрических систем,100,100000007096,ТР,APP1,A,M0000011,ТЭ,ТЭ,2-0181_strТЭ,M0000011_strТЭ,"12,000","6,000"
10579,100000005708,Текущий ремонт,100,100000008661,ТР,APP1,A,M0000003,ТР,ТР,1-0007_strТР,M0000003_strТР,"30,000","10,000"
10580,100000005709,ТР дополнительных систем,100,100000008661,ТР,APP1,A,M0000003,71,71,1-0083_str71,M0000003_str71,"15,000","5,000"
10581,100000005710,Замена кузова,100,100000008661,ЗМН,APP1,A,M0000003,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000003_strЗЗ,"72,000","24,000"
10582,100000005711,ТР электрических систем,100,100000008661,ТР,APP1,A,M0000003,ТЭ,ТЭ,1-0085_strТЭ,M0000003_strТЭ,"15,000","5,000"
10583,100000005712,Техническое обслуживание 1,100,100000008661,ТО1,APP1,A,M0000003,О1,О1,2-0153_strО1,M0000003_strО1,"0,000","0,000"
10584,100000005712,Техническое обслуживание 2,100,100000008661,ТО2,APP1,A,M0000003,О2,О2,2-0153_strО2,M0000003_strО2,"0,000","0,000"
10585,100000005712,Техническое обслуживание 3,100,100000008661,ТО3,APP1,A,M0000003,О3,О3,2-0153_strО3,M0000003_strО3,"0,000","0,000"
10586,100000005713,КР гидросистемы,100,100000008661,КР,APP1,A,M0000003,7,7,2-0154_str7,M0000003_str7,"360,000","120,000"
10587,100000005713,ТР гидросистемы,100,100000008661,ТР,APP1,A,M0000003,69,69,2-0154_str69,M0000003_str69,"180,000","60,000"
10588,100000005714,Замена гидротрансформатора,100,100000008661,ЗМН,APP1,A,M0000003,ЗГ,ЗГ,2-0155_strЗГ,M0000003_strЗГ,"216,000","72,000"
10589,100000005714,КР гидротрансформатора,100,100000008661,КР,APP1,A,M0000003,8,8,2-0155_str8,M0000003_str8,"720,000","240,000"
10590,100000005715,Замена1 двигателя,100,100000008661,ЗМН,APP1,A,M0000003,40,Д1,2-0156_strД1,M0000003_str40,"288,000","96,000"
10591,100000005715,Замена2 двигателя,100,100000008661,ЗМН,APP1,A,M0000003,48,Д2,2-0156_strД2,M0000003_str48,"288,000","96,000"
10592,100000005716,Замена дифференциала,100,100000008661,ЗМН,APP1,A,M0000003,ЗФ,ЗФ,2-0157_strЗФ,M0000003_strЗФ,"0,000","0,000"
10593,100000005717,Замена конечной передачи,100,100000008661,ЗМН,APP1,A,M0000003,ЗП,ЗП,2-0158_strЗП,M0000003_strЗП,"72,000","24,000"
10594,100000005718,Замена2 коробки передач,100,100000008661,ЗМН,APP1,A,M0000003,49,П2,2-0159_strП2,M0000003_str49,"288,000","96,000"
10595,100000005718,Замена1 коробки передач,100,100000008661,ЗМН,APP1,A,M0000003,41,П1,2-0159_strП1,M0000003_str41,"288,000","96,000"
10596,100000005719,КР подвески задней,100,100000008661,КР,APP1,A,M0000003,28,28,2-0160_str28,M0000003_str28,"72,000","24,000"
10597,100000005720,КР подвески передней,100,100000008661,КР,APP1,A,M0000003,29,29,2-0161_str29,M0000003_str29,"144,000","48,000"
10598,100000005721,КР ступицы,100,100000008661,КР,APP1,A,M0000003,31,31,2-0162_str31,M0000003_str31,"144,000","48,000"
10599,100000005722,Текущий ремонт,100,100000008662,ТР,APP1,A,M0000003,ТР,ТР,1-0007_strТР,M0000003_strТР,"30,000","10,000"
