,be,eo_model_name,eo_code,model_hour,year,month,month_year,calendar_fond_status,downtime_status,maintanance_jobs_id,maintanance_name
72,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 00:00:00,2023,1,1_2023,1,0.0,,
73,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 01:00:00,2023,1,1_2023,1,0.0,,
74,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 02:00:00,2023,1,1_2023,1,0.0,,
75,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 03:00:00,2023,1,1_2023,1,0.0,,
76,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 04:00:00,2023,1,1_2023,1,0.0,,
77,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 05:00:00,2023,1,1_2023,1,0.0,,
78,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 06:00:00,2023,1,1_2023,1,0.0,,
79,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 07:00:00,2023,1,1_2023,1,0.0,,
80,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-04 08:00:00,ЕТО
81,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 09:00:00,2023,1,1_2023,1,0.0,,
82,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 10:00:00,2023,1,1_2023,1,0.0,,
83,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 11:00:00,2023,1,1_2023,1,0.0,,
84,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 12:00:00,2023,1,1_2023,1,0.0,,
85,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 13:00:00,2023,1,1_2023,1,0.0,,
86,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 14:00:00,2023,1,1_2023,1,0.0,,
87,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 15:00:00,2023,1,1_2023,1,0.0,,
