,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
2405,МТЧ ТО500-ТР2000-КР16000,МТЧ,Техническое обслуживание,ТО,500,2-0691ТО,2-0691_strТО
2406,МТЧ ТО500-ТР2000-КР16000,МТЧ,Текущий ремонт,ТР,2000,2-0691ТР,2-0691_strТР
2407,МТЧ ТО500-ТР2000-КР16000,МТЧ,Капитальный ремонт,КР,16000,2-0691КР,2-0691_strКР
2408,МТЧ 1250-2500-31000-ТО4-СР-КР,МТЧ,Техническое обслуживание 1,О1,250,2-0692О1,2-0692_strО1
2409,МТЧ 1250-2500-31000-ТО4-СР-КР,МТЧ,Техническое обслуживание 2,О2,500,2-0692О2,2-0692_strО2
2410,МТЧ 1250-2500-31000-ТО4-СР-КР,МТЧ,Техническое обслуживание 3,О3,1000,2-0692О3,2-0692_strО3
2411,МТЧ 1250-2500-31000-ТО4-СР-КР,МТЧ,Техническое обслуживание 4,О4,2000,2-0692О4,2-0692_strО4
2412,МТЧ 1250-2500-31000-ТО4-СР-КР,МТЧ,Средний ремонт,СР,34560,2-0692СР,2-0692_strСР
2413,МТЧ 1250-2500-31000-ТО4-СР-КР,МТЧ,Капитальный ремонт,КР,69120,2-0692КР,2-0692_strКР
2414,МТЧ ТО500-ТР4000-КР12000,МТЧ,Техническое обслуживание,ТО,500,2-0693ТО,2-0693_strТО
2415,МТЧ ТО500-ТР4000-КР12000,МТЧ,Текущий ремонт,ТР,4000,2-0693ТР,2-0693_strТР
2416,МТЧ ТО500-ТР4000-КР12000,МТЧ,Капитальный ремонт,КР,12000,2-0693КР,2-0693_strКР
2417,МТЧ О1180-О2620-Т12160-Т2-КР,МТЧ,Техническое обслуживание 1,О1,180,2-0694О1,2-0694_strО1
2418,МТЧ О1180-О2620-Т12160-Т2-КР,МТЧ,Техническое обслуживание 2,О2,720,2-0694О2,2-0694_strО2
2419,МТЧ О1180-О2620-Т12160-Т2-КР,МТЧ,Текущий ремонт 1,Т1,2160,2-0694Т1,2-0694_strТ1
2420,МТЧ О1180-О2620-Т12160-Т2-КР,МТЧ,Текущий ремонт 2,Т2,4320,2-0694Т2,2-0694_strТ2
2421,МТЧ О1180-О2620-Т12160-Т2-КР,МТЧ,Капитальный ремонт,КР,69120,2-0694КР,2-0694_strКР
2422,МТЧ Т125920,МТЧ,Текущий ремонт 1,Т1,25920,2-0695Т1,2-0695_strТ1
2423,МТЧ К112960-К217280-К3-К410368,МТЧ,Капитальный ремонт 1,К1,12960,2-0696К1,2-0696_strК1
2424,МТЧ К112960-К217280-К3-К410368,МТЧ,Капитальный ремонт 2,К2,17280,2-0696К2,2-0696_strК2
2425,МТЧ К112960-К217280-К3-К410368,МТЧ,Капитальный ремонт 3,К3,25920,2-0696К3,2-0696_strК3
2426,МТЧ К112960-К217280-К3-К410368,МТЧ,Капитальный ремонт 4,К4,103680,2-0696К4,2-0696_strК4
2427,МТЧ ЭКГ-20,МТЧ,Техническое обслуживание 1,О1,180,2-0697О1,2-0697_strО1
2428,МТЧ ЭКГ-20,МТЧ,Техническое обслуживание 2,О2,720,2-0697О2,2-0697_strО2
2429,МТЧ ЭКГ-20,МТЧ,Текущий ремонт 1,Т1,2160,2-0697Т1,2-0697_strТ1
2430,МТЧ ЭКГ-20,МТЧ,Текущий ремонт 2,Т2,4320,2-0697Т2,2-0697_strТ2
2431,МТЧ ЭКГ-20,МТЧ,Капитальный ремонт,КР,69120,2-0697КР,2-0697_strКР
2432,КМ ТО21600-КР200000,КМ,Техническое обслуживание,ТО,21600,2-0698ТО,2-0698_strТО
2433,КМ ТО21600-КР200000,КМ,Капитальный ремонт,КР,200000,2-0698КР,2-0698_strКР
2434,МТЧ Н300(300),КМ,Начальное ТО на 300,О0,0,2-0699О0,2-0699_strО0
2435,КМ Т0300-О11000-О23000,КМ,Техническое обслуживание,T0,300,2-0700T0,2-0700_strT0
2436,КМ Т0300-О11000-О23000,КМ,Техническое обслуживание 1,О1,1000,2-0700О1,2-0700_strО1
2437,КМ Т0300-О11000-О23000,КМ,Техническое обслуживание 2,О2,3000,2-0700О2,2-0700_strО2
2438,МТЧ ТО500-ТР3000-КР12000,МТЧ,Техническое обслуживание,ТО,500,2-0701ТО,2-0701_strТО
2439,МТЧ ТО500-ТР3000-КР12000,МТЧ,Текущий ремонт,ТР,3000,2-0701ТР,2-0701_strТР
2440,МТЧ ТО500-ТР3000-КР12000,МТЧ,Капитальный ремонт,КР,12000,2-0701КР,2-0701_strКР
2441,МТЧ ТО1000-ТР8000-КР16000,МТЧ,Техническое обслуживание,ТО,1000,2-0702ТО,2-0702_strТО
