Тип техкарты,Группа,СчтГрупТехкарт,Описание,Гр. плановиков,Стратегия,Метка удаления,Тип конструкции,Статус,Дата изменения,Дата создания,Действит. с,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",gruppa_str_counter
A,A0000005,О4,Техническое обслуживание 4,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"21,300","6,100",A0000005_strО4
A,A0000005,О5,Техническое обслуживание 5,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"32,300","9,200",A0000005_strО5
A,A0000005,ТР,Текущий ремонт,100,1-0200,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"80,000","20,000",A0000005_strТР
A,A0000007,6,КР главной передачи,100,2-0609,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"60,000","60,000",A0000007_str6
A,A0000007,10,КР двигателя,100,2-0608,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"72,000","72,000",A0000007_str10
A,A0000007,24,КР коробки передач,100,2-0610,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"96,000","96,000",A0000007_str24
A,A0000007,27,КР навесного оборудования,100,1-0211,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"48,000","24,000",A0000007_str27
A,A0000007,ГЗ,Замена главной передачи,100,2-0609,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"5,200","2,600",A0000007_strГЗ
A,A0000007,ЕО,Ежесменное ТО,100,1-2000,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"0,300","0,300",A0000007_strЕО
A,A0000007,ЗД,Замена двигателя,100,2-0608,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"15,100","7,800",A0000007_strЗД
A,A0000007,ЗК,Замена коробки передач,100,2-0610,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"11,700","5,900",A0000007_strЗК
A,A0000007,Н1,Начальное ТО на 100,100,2-0501,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"20,000","10,000",A0000007_strН1
A,A0000007,О1,Техническое обслуживание 1,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"11,000","6,000",A0000007_strО1
A,A0000007,О2,Техническое обслуживание 2,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"16,000","8,000",A0000007_strО2
A,A0000007,О3,Техническое обслуживание 3,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"22,000","11,000",A0000007_strО3
A,A0000007,О4,Техническое обслуживание 4,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"23,000","11,500",A0000007_strО4
A,A0000007,О5,Техническое обслуживание 5,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"36,000","18,000",A0000007_strО5
A,A0000007,О6,Техническое обслуживание 6,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"46,000","23,000",A0000007_strО6
A,A0000007,О7,Техническое обслуживание 7,100,2-0607,,960000007,4,2020-12-07,2020-12-07,2019-06-01,"37,000","18,500",A0000007_strО7
A,A0000007,ТР,Текущий ремонт,100,2-0869,,960000007,4,2022-03-02,2020-12-07,2019-06-01,"15,000","7,500",A0000007_strТР
A,A0000010,34,КР ходовой части,100,2-0481,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"477,000","456,000",A0000010_str34
A,A0000010,69,ТР гидросистемы,100,2-0218,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"720,000","249,000",A0000010_str69
A,A0000010,70,ТР двигателя,100,2-0687,,960000010,4,2021-06-30,2020-12-07,2019-06-01,"50,000","42,400",A0000010_str70
A,A0000010,87,ТР электрооборудования,100,2-0550,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"16,500","14,500",A0000010_str87
A,A0000010,ВЗ,Замена вращателя,100,2-0618,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"32,000","27,000",A0000010_strВЗ
A,A0000010,ЗД,Замена двигателя,100,2-0548,,960000010,4,2021-04-23,2020-12-07,2019-06-01,"207,000","93,000",A0000010_strЗД
A,A0000010,О1,Техническое обслуживание 1,100,2-0396,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"4,300","4,000",A0000010_strО1
A,A0000010,О2,Техническое обслуживание 2,100,2-0396,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"4,400","4,100",A0000010_strО2
A,A0000010,О3,Техническое обслуживание 3,100,2-0396,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"9,500","8,050",A0000010_strО3
A,A0000010,О4,Техническое обслуживание 4,100,2-0396,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"14,400","11,925",A0000010_strО4
A,A0000010,О5,Техническое обслуживание 5,100,2-0396,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"16,200","12,775",A0000010_strО5
A,A0000010,Р0,ТР рабочего оборудования,100,2-0688,,960000010,4,2021-06-30,2020-12-07,2019-06-01,"375,100","147,200",A0000010_strР0
A,A0000010,ТО,Техническое обслуживание,100,1-2011,,960000010,4,2022-02-17,2022-02-12,2022-02-12,"6,500","6,500",A0000010_strТО
A,A0000010,ТП,ТР пневмосистемы,100,2-0273,,960000010,4,2020-12-07,2020-12-07,2019-06-01,"92,000","48,000",A0000010_strТП
A,A0000011,34,КР ходовой части,100,2-0481,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"400,000","400,000",A0000011_str34
A,A0000011,69,ТР гидросистемы,100,2-0218,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"160,000","85,000",A0000011_str69
A,A0000011,70,ТР двигателя,100,2-0548,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"44,000","36,400",A0000011_str70
A,A0000011,87,ТР электрооборудования,100,2-0550,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"26,800","25,800",A0000011_str87
A,A0000011,ВЗ,Замена вращателя,100,2-0598,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"20,000","17,000",A0000011_strВЗ
A,A0000011,ЗД,Замена двигателя,100,2-0548,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"297,000","110,000",A0000011_strЗД
A,A0000011,О1,Техническое обслуживание 1,100,2-0405,,960000011,4,2020-12-07,2020-12-07,2019-06-01,"36,100","27,900",A0000011_strО1
A,A0000011,О2,Техническое обслуживание 2,100,2-0405,,960000011,4,2020-12-07,2020-12-07,2019-06-01,"38,100","29,900",A0000011_strО2
A,A0000011,О3,Техническое обслуживание 3,100,2-0405,,960000011,4,2020-12-07,2020-12-07,2019-06-01,"53,900","40,700",A0000011_strО3
A,A0000011,О4,Техническое обслуживание 4,100,2-0405,,960000011,4,2020-12-07,2020-12-07,2019-06-01,"42,800","34,600",A0000011_strО4
A,A0000011,О5,Техническое обслуживание 5,100,2-0405,,960000011,4,2020-12-07,2020-12-07,2019-06-01,"82,000","65,800",A0000011_strО5
A,A0000011,О6,Техническое обслуживание 6,100,2-0405,,960000011,4,2020-12-07,2020-12-07,2019-06-01,"48,300","40,100",A0000011_strО6
A,A0000011,О7,Техническое обслуживание 7,100,2-0405,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"84,000","67,800",A0000011_strО7
A,A0000011,Р0,ТР рабочего оборудования,100,2-0338,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"184,600","112,600",A0000011_strР0
A,A0000011,ТО,Техническое обслуживание,100,1-2011,,960000011,4,2022-02-17,2022-02-12,2022-02-12,"5,000","5,000",A0000011_strТО
A,A0000011,ТП,ТР пневмосистемы,100,2-0273,,960000011,4,2020-12-08,2020-12-07,2019-06-01,"171,000","88,000",A0000011_strТП
A,A0000012,69,ТР гидросистемы,100,2-0252,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"590,400","154,600",A0000012_str69
A,A0000012,85,ТР ходовой части,100,2-0254,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"354,000","126,000",A0000012_str85
A,A0000012,КР,Капитальный ремонт,100,2-0594,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"1 003,000","528,000",A0000012_strКР
A,A0000012,О1,Техническое обслуживание 1,100,2-0594,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"90,200","51,000",A0000012_strО1
A,A0000012,О2,Техническое обслуживание 2,100,2-0594,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"110,600","66,400",A0000012_strО2
A,A0000012,О3,Техническое обслуживание 3,100,2-0594,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"271,400","133,200",A0000012_strО3
A,A0000012,Р0,ТР рабочего оборудования,100,2-0284,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"379,700","130,700",A0000012_strР0
A,A0000012,ТО,Техническое обслуживание,100,1-2011,,960000012,4,2022-01-28,2022-01-26,2022-01-26,"8,000","8,000",A0000012_strТО
A,A0000012,ТП,ТР пневмосистемы,100,2-0283,,960000012,4,2020-12-07,2020-12-07,2019-06-01,"175,600","67,600",A0000012_strТП
A,A0000013,2,КР бортовых редукторов,100,2-0521,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"55,000","47,000",A0000013_str2
A,A0000013,34,КР ходовой части,100,2-0467,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"2 200,000","672,000",A0000013_str34
A,A0000013,ЕО,Ежесменное ТО,100,1-2000,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"0,500","0,500",A0000013_strЕО
A,A0000013,ЗБ,Замена бортовых редукторов,100,2-0521,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"44,000","22,000",A0000013_strЗБ
A,A0000013,ЗД,Замена двигателя,100,2-0548,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"98,000","49,000",A0000013_strЗД
A,A0000013,ЗР,Замена редуктора пов.платформы,100,2-0576,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"48,000","24,000",A0000013_strЗР
A,A0000013,КО,КР рабочего оборудования,100,2-0544,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"2 200,000","672,000",A0000013_strКО
A,A0000013,КП,КР редуктора поворот.платформы,100,2-0576,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"50,000","43,000",A0000013_strКП
A,A0000013,Н2,Начальное ТО на 250,100,2-0506,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"4,000","4,000",A0000013_strН2
A,A0000013,О1,Техническое обслуживание 1,100,2-0613,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"8,800","8,800",A0000013_strО1
