Единица оборудования,Техническое место,Выбранная строка,Тип техкарты,Группа,СчетГруппТехкарт,ТкстТехкрт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Завод,Группа плановиков,Страт. предупр. ТОРО,Внешний идентификатор техкарты
100000026785,,,E,5705,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1006_108764
100000058928,,,E,5706,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1008_32485
100000058928,,,E,5706,ТО,ТО Cистемы пожаротушения WA500-3 №51,"4,500","4,500",1100,100,2-0702,ПОГРУЗЧИК ФРОНТАЛЬНЫЙ WA500-3 №51
100000058929,,,E,5707,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1009_32486
100000058929,,,E,5707,ТО,ТО Cистемы пожаротушения WA500-3 №52,"4,500","4,500",1100,100,2-0702,ПОГРУЗЧИК ФРОНТАЛЬНЫЙ WA500-3 №52
100000058937,,,E,5708,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1010_32495
100000058937,,,E,5708,ТО,ТО Cистемы пожаротушения WA500-3 №37,"4,500","4,500",1100,100,2-0702,ПОГРУЗЧИК ФРОНТАЛЬНЫЙ WA500-3 №37
100000059033,,,E,5710,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1012_32601
100000059033,,,E,5710,ТО,Техническое обслуживание WA500-3 №502,"4,500","4,500",1100,100,1-0000,ПОГРУЗЧИК ФРОНТАЛЬНЫЙ WA500-3 №502
100000054866,,,E,5711,ЕО,Ежесменное ТО,"0,718","0,718",1100,100,1-0000,1013_235847
100000061890,,,E,5712,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1014_4786
100000061890,,,E,5712,ТО,Техническое обслуживание СБШ-250 МНА-32,"8,000","8,000",1100,100,1-0000,СТАНОК БУРОВОЙ СБШ-250 МНА-32 №25
100000061891,,,E,5713,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1015_4787
100000061891,,,E,5713,ТО,Техническое обслуживание СБШ-250 МНА-32,"8,000","8,000",1100,100,1-0000,СТАНОК БУРОВОЙ СБШ-250 МНА-32 №26
100000061892,,,E,5714,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1016_4788
100000061892,,,E,5714,ТО,Техническое обслуживание СБШ-250 МНА-32,"8,000","8,000",1100,100,1-0000,СТАНОК БУРОВОЙ СБШ-250 МНА-32 №27
