Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005325,ТО,A0005325_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,45314_30365,,960005325,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005326,Т1,A0005326_Т1,"54,000","16,000",Текущий ремонт 1,1100,100,1-0137,45321_30366,,960005326,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005326,Т2,A0005326_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,1-0137,45322_30366,,960005326,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005326,ТО,A0005326_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,45320_30366,,960005326,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005327,ТО,A0005327_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0217,45301_30367,,960005327,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005327,ТР,A0005327_ТР,"96,000","24,000",Текущий ремонт,1100,100,1-0217,45302_30367,,960005327,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005328,Т1,A0005328_Т1,"54,000","24,000",Текущий ремонт 1,1100,100,2-0355,49625_30368,,960005328,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005328,Т2,A0005328_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,2-0355,49626_30368,,960005328,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005328,ТО,A0005328_ТО,"3,000","3,000",Техническое обслуживание,1100,100,2-0355,49624_30368,,960005328,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005329,ТО,A0005329_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0217,45312_30369,,960005329,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005329,ТР,A0005329_ТР,"96,000","24,000",Текущий ремонт,1100,100,1-0217,45313_30369,,960005329,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005330,Т1,A0005330_Т1,"48,000","16,000",Текущий ремонт 1,1100,100,1-0189,45324_30370,,960005330,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
